"","X.2","X.1","X","State.Code","State","Density","Population","Area","jcity","lat","long","koppen","county","fs","description"
"1",1,3,3,"CA","California","7,437","78,906","11","Alameda",37.65,-121.91,"Csb","alameda","Alameda, CA",NA
"2",2,5,5,"NY","New York","4,587","98,111","21","Albany",42.6526,-73.7562,"Dfb","albany","Albany, NY",". Albany Energy Plan â<U+0080><U+0094> the plan was developed over a year of in-depth analysis and multiple stakeholder meetings. The finished plan, which was released in early 2015, provides a comprehensive approach to energy use reduction and management, both within municipal operations and city-wide.Â "
"3",3,6,6,"OR","Oregon","3,034","53,211","18","Albany",44.630278,-123.0961,"Csb","linn","Albany, OR",NA
"4",4,8,8,"VA","Virginia","10,367","155,810","15","Alexandria",38.8047,-77.0472,"Cfa","prince georges","Alexandria, VA",NA
"5",5,12,12,"PA","Pennsylvania","6,863","120,443","18","Allentown",40.6017,-75.4772,"Dfa","lehigh","Allentown, PA",NA
"6",6,17,17,"AK","Alaska","175","298,192","1,705","Anchorage",61.216667,-149.9,"Dfc","anchorage","Anchorage, AK",NA
"7",7,20,20,"MI","Michigan","4,340","120,782","28","Ann Arbor",42.2808,-83.743,"Dfa","washtenaw","Ann Arbor, MI",NA
"8",8,21,21,"CA","California","3,912","110,898","28","Antioch",38.0049214,-121.8058,"Csa","contra costa","Antioch, CA",NA
"9",9,29,29,"NC","North Carolina","1,984","89,121","45","Asheville",35.6008,-82.5542,"Cfb","buncombe","Asheville, NC",NA
"10",10,31,31,"GA","Georgia","3,549","472,522","133","Atlanta",33.7489954,-84.38798,"Cfa","fulton","Atlanta, GA",". On May 1st, 2017, the City of Atlanta adopted a resolution to target 100% clean energy by 2025 (http://atlantacityga.iqm2.com/Citizens/Detail_LegiFile.aspx?ID=12113&highlightTerms=3510) The resolution stipulates that â<U+0080><U+009C>by January 2018 the Office of Sustainability will develop a plan for City of Atlanta operations to achieve 100% clean energy by 2025 and community-wide 100% clean energy by 2035 that includes interim milestones, budget estimates, equity metrics, estimated financial impacts, financing mechanisms, and the percentage of clean energy that shall be locally and distributively generated.â<U+0080>"
"11",11,34,34,"GA","Georgia","652","197,081","302","Augusta-Richmond County",33.4712186,-81.96175,"Cfa","richmond","Augusta-Richmond County, GA",NA
